"id","IsResponsive","PriceBid","QualityLevel","CTR","Impressions","CompetitionLevel"
1,"yes",36.45,76,7.96,8338,"high"
2,"yes",7.05,79,3.74,5434,"low"
3,"yes",2.72,93,3.35,8350,"low"
4,"yes",24,83,6.66,7049,"mid"
5,"yes",28.64,22,4.64,7037,"mid"
6,"yes",1.38,99,2.59,9037,"low"
7,"yes",9.11,66,4.25,2832,"low"
8,"yes",19.04,40,4.75,1398,"mid"
9,"yes",1.36,4,1.73,120,"low"
10,"yes",31.65,5,3.82,2555,"high"
11,"no",10.47,12,3.1,2916,"low"
12,"yes",34.01,48,6.26,482,"high"
13,"yes",3.77,71,3.31,7941,"low"
14,"yes",15.44,15,3.49,868,"low"
15,"yes",32.33,66,6.84,5543,"high"
16,"yes",30.95,96,8.06,6374,"mid"
17,"yes",10.74,74,4.5,13736,"low"
18,"yes",44.57,80,8.78,6724,"high"
19,"yes",10.96,41,4.07,2205,"low"
20,"yes",23.33,48,5.26,2301,"mid"
21,"no",34.59,56,6.48,6434,"high"
22,"yes",37.6,10,4.5,2832,"high"
23,"yes",2.09,32,2.02,5977,"low"
24,"yes",36.16,34,5.58,3157,"high"
25,"yes",9.87,25,3.49,2205,"low"
26,"yes",41.64,7,4.32,2350,"high"
27,"yes",22.64,59,5.4,1518,"mid"
28,"yes",38.03,34,5.72,2759,"high"
29,"yes",39.41,55,6.8,2759,"high"
30,"yes",11.18,32,3.78,4916,"low"
31,"no",46.4,57,7.7,5205,"high"
32,"yes",17.88,35,4.28,4651,"mid"
33,"yes",15.4,3,3.46,3615,"low"
34,"yes",42.07,40,6.26,36,"high"
35,"yes",15.16,3,3.42,892,"low"
36,"no",46.05,8,4.61,1024,"high"
37,"yes",42.28,88,9.14,602,"high"
38,"no",11.83,100,5.29,5507,"low"
39,"yes",6.83,54,3.64,4229,"low"
40,"yes",36.12,76,7.74,3856,"high"
41,"yes",32.08,45,5.98,3808,"high"
42,"yes",28.04,67,6.16,4663,"mid"
43,"yes",46.51,56,7.45,217,"high"
44,"yes",32.77,17,4.64,3181,"high"
45,"no",3.98,52,3.06,5217,"low"
46,"no",27.74,45,5.36,3796,"mid"
47,"yes",14.21,20,3.82,4302,"low"
48,"yes",38,84,8.35,2229,"high"
49,"no",35.99,32,5.33,6013,"high"
50,"yes",10.6,24,3.49,4434,"low"
51,"yes",31.65,6,4.1,4169,"high"
52,"yes",15.9,19,3.85,434,"mid"
53,"no",34.28,84,8.14,4772,"high"
54,"no",28.92,93,7.63,7073,"mid"
55,"yes",41.61,58,7.27,1916,"high"
56,"yes",31.51,100,8.53,7230,"high"
57,"yes",1.16,57,1.98,4989,"low"
58,"no",21.57,39,4.75,2000,"mid"
59,"yes",33.39,100,8.57,4543,"high"
60,"yes",33.37,59,6.62,1121,"high"
61,"yes",8.47,4,2.92,2579,"low"
62,"yes",41.39,86,8.71,6591,"high"
63,"yes",37.91,31,5.65,3290,"high"
64,"yes",16.27,60,5.04,1012,"mid"
65,"yes",20.77,86,6.48,3482,"mid"
66,"yes",10.93,19,3.35,108,"low"
67,"yes",4.99,50,3.42,265,"low"
68,"yes",22.07,29,4.82,1229,"mid"
69,"no",37.6,55,6.8,1325,"high"
70,"yes",34.34,89,8.03,3277,"high"
71,"no",31.54,62,6.59,4663,"high"
72,"yes",17.39,29,4.46,3820,"mid"
73,"yes",4.25,67,3.17,2326,"low"
74,"yes",20.5,11,3.96,3772,"mid"
75,"yes",33.8,50,6.12,1578,"high"
76,"yes",2.68,88,3.13,10772,"low"
77,"yes",4.36,3,2.48,2494,"low"
78,"yes",19.09,57,5.11,1711,"mid"
79,"no",0.86,60,1.91,1133,"low"
80,"yes",18.37,16,3.96,2783,"mid"
81,"yes",12.1,54,4.25,2687,"low"
82,"yes",37.98,8,4.43,4446,"high"
83,"yes",11.93,41,4.07,3916,"low"
84,"yes",10.83,90,4.9,4290,"low"
85,"no",33.82,87,7.81,4073,"high"
86,"yes",30.6,37,5.47,7917,"mid"
87,"yes",12.09,55,4.32,1928,"low"
88,"yes",17.53,82,5.76,7615,"mid"
89,"yes",13.99,51,4.64,8844,"low"
90,"yes",17.39,96,6.01,6193,"mid"
91,"yes",21.27,10,4.03,1121,"mid"
92,"no",4.53,3,2.63,3976,"low"
93,"yes",34.48,68,6.98,7109,"high"
94,"yes",39.74,74,7.99,8712,"high"
95,"yes",17.01,28,4.14,1313,"mid"
96,"yes",25.87,64,6.08,6374,"mid"
97,"yes",31.3,7,4.21,711,"mid"
98,"no",29.29,42,5.58,2651,"mid"
99,"yes",45.89,85,9.14,6169,"high"
100,"yes",21.42,84,6.19,5531,"mid"
101,"yes",35.23,9,4.21,6001,"high"
102,"yes",46.95,73,8.57,12158,"high"
103,"yes",44.38,20,5.33,2579,"high"
104,"yes",29.76,35,5.29,2157,"mid"
105,"yes",37.73,69,7.45,639,"high"
106,"yes",21.84,94,6.91,7109,"mid"
107,"yes",3.96,22,2.59,3579,"low"
108,"yes",14.32,1,3.13,2795,"low"
109,"yes",2.08,1,1.91,3085,"low"
110,"no",40.46,54,7.13,663,"high"
111,"yes",35.77,17,4.82,6808,"high"
112,"yes",38.29,77,7.85,2795,"high"
113,"yes",27.83,31,5.08,289,"mid"
114,"no",33.2,42,5.72,1289,"high"
115,"no",12.39,94,5.26,4157,"low"
116,"yes",11.9,71,4.54,6350,"low"
117,"no",22.05,29,4.39,3085,"mid"
118,"yes",12.1,2,3.38,1783,"low"
119,"yes",19.91,74,5.72,9543,"mid"
120,"yes",3.07,32,2.38,2687,"low"
121,"yes",22.38,54,5.58,5567,"mid"
122,"yes",2.98,44,2.52,6073,"low"
123,"no",35.48,5,4.18,1880,"high"
124,"yes",19.5,70,5.47,1494,"mid"
125,"yes",36.35,65,7.09,8941,"high"
126,"yes",13.81,24,3.82,3121,"low"
127,"no",1.24,78,2.38,6097,"low"
128,"no",12.7,0,3.17,1109,"low"
129,"no",34.9,99,8.89,386,"high"
130,"yes",9.44,24,3.49,5193,"low"
131,"no",0.11,80,0.58,1048,"low"
132,"yes",42.01,6,4.57,5181,"high"
133,"yes",1.33,55,2.05,253,"low"
134,"yes",34.82,68,7.06,5434,"high"
135,"no",5.84,78,3.89,7905,"low"
136,"yes",7.65,95,4.18,1024,"low"
137,"yes",4.06,79,3.42,1121,"low"
138,"yes",43.35,58,7.49,7194,"high"
139,"yes",6.81,52,3.46,2470,"low"
140,"yes",29.29,89,7.45,205,"mid"
141,"no",11.63,34,3.92,1554,"low"
142,"yes",30.68,71,6.91,9109,"mid"
143,"yes",34.93,67,7.24,4567,"high"
144,"yes",16.57,11,3.74,4145,"mid"
145,"yes",15.24,30,4.1,4687,"low"
146,"yes",22.22,4,3.71,1084,"mid"
147,"yes",38.03,15,4.75,1048,"high"
148,"yes",38.52,99,9.14,5338,"high"
149,"no",6.02,81,3.92,1434,"low"
150,"yes",7.08,52,3.64,2482,"low"
151,"yes",44.46,28,5.8,4458,"high"
152,"no",19.17,17,4.18,5868,"mid"
153,"yes",31.3,47,5.98,1711,"mid"
154,"yes",27.13,80,6.84,4543,"mid"
155,"yes",29.75,43,5.62,1145,"mid"
156,"yes",0.65,23,1.15,687,"low"
157,"yes",14.87,88,5.51,6085,"low"
158,"yes",23.73,3,3.64,2928,"mid"
159,"yes",1.85,74,2.63,5446,"low"
160,"yes",20.86,37,4.64,4169,"mid"
161,"yes",27.32,36,5.18,3699,"mid"
162,"yes",13.57,72,4.79,5940,"low"
163,"no",29.84,36,5.36,3085,"mid"
164,"yes",25.9,74,6.48,892,"mid"
165,"yes",18.56,30,4.28,651,"mid"
166,"yes",37.14,7,4.28,10218,"high"
167,"no",2.84,76,2.88,2603,"low"
168,"yes",32.76,10,4.39,2338,"high"
169,"yes",34.12,48,6.16,6941,"high"
170,"yes",45.03,21,5.4,771,"high"
171,"yes",7.92,23,3.02,2217,"low"
172,"yes",26.06,42,5.22,5711,"mid"
173,"yes",3.1,41,2.74,2048,"low"
174,"yes",26.67,14,4.21,1542,"mid"
175,"yes",35.23,7,4.14,1578,"high"
176,"yes",43.86,99,9.72,5037,"high"
177,"yes",39.35,61,7.27,2446,"high"
178,"no",26.96,16,4.21,4241,"mid"
179,"yes",43.83,5,4.25,2856,"high"
180,"no",26.23,20,4.54,2121,"mid"
181,"yes",24.81,5,3.78,1000,"mid"
182,"yes",34.61,11,4.39,3302,"high"
183,"yes",8.9,11,3.13,3579,"low"
184,"yes",45.56,87,9.43,8652,"high"
185,"no",40.2,43,6.34,3615,"high"
186,"yes",32.47,91,8.14,2362,"high"
187,"no",22.1,4,3.71,3205,"mid"
188,"yes",30.27,58,6.23,2193,"mid"
189,"yes",45.3,28,5.72,446,"high"
190,"yes",2.96,24,2.41,2820,"low"
191,"yes",6.26,83,3.89,699,"low"
192,"yes",11.96,22,3.56,723,"low"
193,"yes",2.72,8,2.12,3808,"low"
194,"yes",26.42,85,7.06,434,"mid"
195,"no",23.71,72,6.23,723,"mid"
196,"yes",6.05,7,2.74,1663,"low"
197,"yes",14.92,10,3.49,976,"low"
198,"yes",28.04,19,4.61,771,"mid"
199,"yes",44.92,85,9.18,7977,"high"
200,"yes",36.76,17,4.82,1048,"high"
